Word,Value
depression,64.0035775
talking,17.44287341
kill,71.63918227
woman,0
video,17.80647364
wanna,0.009937498
felt,0.373537725
anything,2.918739316
five,-4.736740453
bad,52.00477
care,20.71527546
since,4.736740453
gonna,11.64514477
friends,43.98569
parents,33.80488364
completely,15.26127205
self,13.44327091
guys,13.07967068
help,10.53446909
mind,9.807268639
lot,5.080465684
feeling,3.626064775
saying,1.808063638
obviously,0.717262957
close,10.19074386
nothing,29.09795568
never,39.27876204
mother,-39.62248728
friend,39.25888705
mom,38.89528682
thank,-34.53208409
hope,34.16848387
couple,32.71408296
career,0
house,15.26127205
country,0
huge,11.62526978
knows,11.26166955
talk,10.17086887
try,9.443668411
everything,8.352867729
made,8.352867729
thirty,0
follow,0
stuff,1.444463411
look,-0.717262957
explain,0.737137953
sent,0.737137953
company,-1.10073818
matter,1.827938634
